Kabupaten_Kota,Tanggal,RF_Pred,LGBM_Pred,Blended_Pred
Kabupaten Blitar,2025-01-01,5169.529100000002,6350.191224804842,5759.860162402421
Kabupaten Blitar,2025-02-01,5853.6989,4051.857828925832,4952.778364462916
Kabupaten Blitar,2025-03-01,14117.42469999999,6962.635972596886,10540.030336298438
Kabupaten Blitar,2025-04-01,33529.691199999994,29647.774587796415,31588.732893898203
Kabupaten Blitar,2025-05-01,48759.10130000002,49811.71844380913,49285.40987190457
Kabupaten Blitar,2025-06-01,13174.338000000005,15826.626476971873,14500.48223848594
Kabupaten Blitar,2025-07-01,5150.6047,4586.876591299432,4868.740645649716
Kabupaten Blitar,2025-08-01,7620.5296,6730.032572722912,7175.281086361456
Kabupaten Blitar,2025-09-01,10731.4846,6090.486846208162,8410.98572310408
Kabupaten Blitar,2025-10-01,8135.541900000002,6868.482587511047,7502.012243755525
Kabupaten Blitar,2025-11-01,7619.970700000002,8503.934636232774,8061.952668116388
Kabupaten Blitar,2025-12-01,4564.218500000002,4147.517686221745,4355.868093110874
Kabupaten Bojonegoro,2025-01-01,16294.785900000003,19916.143369892765,18105.464634946384
Kabupaten Bojonegoro,2025-02-01,45624.3942,56778.479767132354,51201.43698356618
Kabupaten Bojonegoro,2025-03-01,139216.42519999994,179921.55886495244,159568.99203247618
Kabupaten Bojonegoro,2025-04-01,145721.48369999995,115010.46313230201,130365.97341615098
Kabupaten Bojonegoro,2025-05-01,43926.96129999998,47653.935891621615,45790.4485958108
Kabupaten Bojonegoro,2025-06-01,67759.47619999996,69303.08845196044,68531.2823259802
Kabupaten Bojonegoro,2025-07-01,61684.34819999999,72817.55538833837,67250.95179416917
Kabupaten Bojonegoro,2025-08-01,37299.13470000001,38278.5706594991,37788.85267974956
Kabupaten Bojonegoro,2025-09-01,29740.007699999995,16685.119650445053,23212.563675222525
Kabupaten Bojonegoro,2025-10-01,31424.7469,19391.436361970438,25408.09163098522
Kabupaten Bojonegoro,2025-11-01,29947.967800000002,26108.852515730392,28028.410157865197
Kabupaten Bojonegoro,2025-12-01,22250.075899999993,26016.93280233772,24133.504351168856
Kabupaten Bondowoso,2025-01-01,14251.866400000004,13828.09071106577,14039.978555532887
Kabupaten Bondowoso,2025-02-01,19941.5344,17406.16392129205,18673.849160646023
Kabupaten Bondowoso,2025-03-01,34215.267900000006,27728.654205806295,30971.96105290315
Kabupaten Bondowoso,2025-04-01,32651.753399999994,30603.32791818288,31627.540659091435
Kabupaten Bondowoso,2025-05-01,32057.472400000002,30437.483860780638,31247.478130390322
Kabupaten Bondowoso,2025-06-01,35725.072200000024,28771.560923949415,32248.31656197472
Kabupaten Bondowoso,2025-07-01,22338.330499999993,19532.6863685783,20935.508434289146
Kabupaten Bondowoso,2025-08-01,18428.4767,18195.525841779476,18312.001270889737
Kabupaten Bondowoso,2025-09-01,12057.726799999997,12731.51342642034,12394.620113210169
Kabupaten Bondowoso,2025-10-01,13682.00910000001,9594.760951789924,11638.385025894968
Kabupaten Bondowoso,2025-11-01,11943.990200000002,8349.930001396157,10146.96010069808
Kabupaten Bondowoso,2025-12-01,9077.781199999996,13115.34978941101,11096.565494705503
Kabupaten Gresik,2025-01-01,5323.155100000003,4418.487768716987,4870.821434358495
Kabupaten Gresik,2025-02-01,16656.918500000007,20873.288475327947,18765.103487663975
Kabupaten Gresik,2025-03-01,64791.55969999994,94030.23575226752,79410.89772613373
Kabupaten Gresik,2025-04-01,50152.991599999994,55507.41520109463,52830.20340054731
Kabupaten Gresik,2025-05-01,17103.258800000003,14307.140633090135,15705.19971654507
Kabupaten Gresik,2025-06-01,43140.34830000001,35272.97352893334,39206.66091446667
Kabupaten Gresik,2025-07-01,37056.618200000004,31822.093119995126,34439.35565999756
Kabupaten Gresik,2025-08-01,15379.3563,15582.239508333532,15480.797904166766
Kabupaten Gresik,2025-09-01,18922.445200000002,14231.32595204465,16576.885576022327
Kabupaten Gresik,2025-10-01,20925.12569999999,17098.02767869431,19011.576689347152
Kabupaten Gresik,2025-11-01,14635.719100000002,14224.38116819541,14430.050134097706
Kabupaten Gresik,2025-12-01,4323.614399999999,7685.452928801623,6004.533664400811
Kabupaten Jember,2025-01-01,25533.372199999987,31229.353684796835,28381.36294239841
Kabupaten Jember,2025-02-01,36347.29320000001,30973.248498144738,33660.270849072374
Kabupaten Jember,2025-03-01,60168.25090000001,74594.54017454381,67381.3955372719
Kabupaten Jember,2025-04-01,126890.71629999997,138656.27647495395,132773.49638747697
Kabupaten Jember,2025-05-01,52064.878899999996,37653.118159769365,44858.99852988468
Kabupaten Jember,2025-06-01,37594.52530000001,31872.548921046255,34733.53711052313
Kabupaten Jember,2025-07-01,37334.108800000016,41641.56163291932,39487.83521645967
Kabupaten Jember,2025-08-01,70175.14129999996,72031.32887833912,71103.23508916954
Kabupaten Jember,2025-09-01,45476.64169999997,24375.207705636458,34925.924702818214
Kabupaten Jember,2025-10-01,26706.4021,16177.789387396142,21442.09574369807
Kabupaten Jember,2025-11-01,19444.515000000003,18422.03851733507,18933.276758667536
Kabupaten Jember,2025-12-01,22895.394,23954.019870245214,23424.70693512261
Kabupaten Jombang,2025-01-01,6729.804999999998,8431.391871292364,7580.598435646181
Kabupaten Jombang,2025-02-01,8302.816000000003,9599.08463169389,8950.950315846945
Kabupaten Jombang,2025-03-01,46118.215399999994,64708.540161055986,55413.37778052799
Kabupaten Jombang,2025-04-01,90403.52839999992,56909.155559682345,73656.34197984113
Kabupaten Jombang,2025-05-01,38307.783200000005,29978.01915369863,34142.90117684932
Kabupaten Jombang,2025-06-01,5778.282700000002,9168.592522682324,7473.437611341163
Kabupaten Jombang,2025-07-01,30169.997599999984,24643.114503651344,27406.556051825664
Kabupaten Jombang,2025-08-01,43442.388499999994,32871.01265320389,38156.70057660194
Kabupaten Jombang,2025-09-01,37161.049999999996,25181.005140523757,31171.027570261875
Kabupaten Jombang,2025-10-01,15611.156600000006,10715.412563588634,13163.28458179432
Kabupaten Jombang,2025-11-01,5841.647599999999,4681.55903657141,5261.6033182857045
